userName,score,content
Den Mpo,1,"mau buat dan daftra, ada screen lock (gak ngerti) di hp ku gak fasilitas itu, kenapa ga di buat model pin atau yg lain saja ya.."
Made Selalu Bahagia,5,"Menarik lamcar jaya aplikasi nya, BLU BCA, smoga dpt rejeki makasih"
Dan Zi,4,"lama bgt verifnya, ditunggu antrian ratusan pas gilirannya blank item doang selama 15 menit ditunggu, gatau itu ada cs nya ga, kyk dipermainkan wkwk kalo belum gilirannya, lebih baik jujur saja kita yg nunggun ini di antrian ke berapa."
bangman 88,1,"Transfer berhasil, tp gk masuk. cs dihub suruh tanya penerima. Gak pantas Blu sama BCA jelek-jelikin nama BCA"
Eka Hajjam,3,Kok Lemot Yaaa
Oliviaa Nurahmaa,3,"apknya lemot bgt, buat masuk aja susah. klo lagi terburu buru buat bayar pake qris lamanya minta ampun keburu ngantri panjang 🥴"
Al Hijrah,5,ok
Sheila Daya,3,mendadak aplikasinya ga bisa dibuka.. kenapa ya 😭
Djabrik wong ndeso,1,Pengenalan wajah susah
Shabar Barbermans,5,sangat bagus ..
Monica,1,gila lemot banget kalo mau buka aplikasi aja harus nunggu dan bug Mulu keberatan aplikasi
Sasamellia Putriria,5,sanggat menyukai
Mayasari,5,"bagus sukaa tp kenapa ga bisa dibuka hari inii ,"
Beby Rina,5,top bgt
A Sunrise,1,"bjir gak bisa verifikasi wajah, terlalu berat aplikasinya, jadi kehabisan waktu, capek ngulang mulu, mending bca mobile mudah"
Adzkiya Qurrota,1,"Mo donlod ga jadi karena ribet harus aktipkan screenlock,dah berkali2 coba ga bisa,padahal dulu pernah punya, bikin aplikasi ga Usah ribet dong cukup pin aja."
Fahira Nurhaliza,3,aneh sekarang gabisa top up shopee pay
Ade Firmansyah,5,klu no hp ny sdh ngk aktif lg gmna y sy bs login ke akun sy kmbali
